Index,ID,TraitVal,TraitUnit,Phylum,Class,Order,Family,Genus,Species,Temp,TempUnit
0,K_Adamberg_Streptococcus_salivarius_growth,0.00013401,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,30.0656,Celsius
1,K_Adamberg_Streptococcus_salivarius_growth,0.0001383,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,31.0381,Celsius
2,K_Adamberg_Streptococcus_salivarius_growth,0.00014688,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,32.0916,Celsius
3,K_Adamberg_Streptococcus_salivarius_growth,0.00015375,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,33.064,Celsius
4,K_Adamberg_Streptococcus_salivarius_growth,0.00019144,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,34.063,Celsius
5,K_Adamberg_Streptococcus_salivarius_growth,0.00022228,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,35.0621,Celsius
6,K_Adamberg_Streptococcus_salivarius_growth,0.00024884,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,36.0343,Celsius
7,K_Adamberg_Streptococcus_salivarius_growth,0.00027968,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,37.0064,Celsius
8,K_Adamberg_Streptococcus_salivarius_growth,0.00031908,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,38.0324,Celsius
9,K_Adamberg_Streptococcus_salivarius_growth,0.00035163,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,39.0585,Celsius
10,K_Adamberg_Streptococcus_salivarius_growth,0.0003722,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,40.0577,Celsius
11,K_Adamberg_Streptococcus_salivarius_growth,0.0003979,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,41.0299,Celsius
12,K_Adamberg_Streptococcus_salivarius_growth,0.00043559,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,42.0289,Celsius
13,K_Adamberg_Streptococcus_salivarius_growth,0.00050068,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,43.0005,Celsius
14,K_Adamberg_Streptococcus_salivarius_growth,0.00055636,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,44.0533,Celsius
15,K_Adamberg_Streptococcus_salivarius_growth,0.00059233,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,45.0524,Celsius
16,K_Adamberg_Streptococcus_salivarius_growth,0.00058293,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,46.0791,Celsius
17,K_Adamberg_Streptococcus_salivarius_growth,0.00056325,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,47.0519,Celsius
18,K_Adamberg_Streptococcus_salivarius_growth,0.00051617,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,48.0251,Celsius
19,K_Adamberg_Streptococcus_salivarius_growth,0.00047251,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,49.0253,Celsius
20,K_Adamberg_Streptococcus_salivarius_growth,0.00042629,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,50.0525,Celsius
21,K_Adamberg_Streptococcus_salivarius_growth,0.00041431,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,51.0522,Celsius
22,K_Adamberg_Lactococcus_lactis_growth,0.000019,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,10.0222,Celsius
23,K_Adamberg_Lactococcus_lactis_growth,0.0000216,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,11.0218,Celsius
24,K_Adamberg_Lactococcus_lactis_growth,0.0000233,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,12.0483,Celsius
25,K_Adamberg_Lactococcus_lactis_growth,0.0000276,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,13.0208,Celsius
26,K_Adamberg_Lactococcus_lactis_growth,0.0000345,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,14.0202,Celsius
27,K_Adamberg_Lactococcus_lactis_growth,0.0000405,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,15.0467,Celsius
28,K_Adamberg_Lactococcus_lactis_growth,0.0000465,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,16.0192,Celsius
29,K_Adamberg_Lactococcus_lactis_growth,0.0000559,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,17.0186,Celsius
30,K_Adamberg_Lactococcus_lactis_growth,0.0000653,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,18.018,Celsius
31,K_Adamberg_Lactococcus_lactis_growth,0.0000731,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,19.0174,Celsius
32,K_Adamberg_Lactococcus_lactis_growth,0.0000808,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,20.0169,Celsius
33,K_Adamberg_Lactococcus_lactis_growth,0.0000894,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,21.0163,Celsius
34,K_Adamberg_Lactococcus_lactis_growth,0.00010307,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,22.0156,Celsius
35,K_Adamberg_Lactococcus_lactis_growth,0.00011079,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,23.0691,Celsius
36,K_Adamberg_Lactococcus_lactis_growth,0.00011765,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,24.0145,Celsius
37,K_Adamberg_Lactococcus_lactis_growth,0.00011767,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,25.0411,Celsius
38,K_Adamberg_Lactococcus_lactis_growth,0.00013909,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,26.0133,Celsius
39,K_Adamberg_Lactococcus_lactis_growth,0.00015366,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,27.0397,Celsius
40,K_Adamberg_Lactococcus_lactis_growth,0.00016738,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,28.012,Celsius
41,K_Adamberg_Lactococcus_lactis_growth,0.00017766,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,29.0114,Celsius
42,K_Adamberg_Lactococcus_lactis_growth,0.00018539,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,30.0109,Celsius
43,K_Adamberg_Lactococcus_lactis_growth,0.00019653,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,31.0103,Celsius
44,K_Adamberg_Lactococcus_lactis_growth,0.00021025,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,32.0096,Celsius
45,K_Adamberg_Lactococcus_lactis_growth,0.00021968,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,33.009,Celsius
46,K_Adamberg_Lactococcus_lactis_growth,0.00022911,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,34.0085,Celsius
47,K_Adamberg_Lactococcus_lactis_growth,0.00024026,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,35.0078,Celsius
48,K_Adamberg_Lactococcus_lactis_growth,0.00024712,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,36.0073,Celsius
