Index,ID,TraitVal,TraitUnit,Phylum,Class,Order,Family,Genus,Species,Temp,TempUnit,Label
0,Bale_1997_500_1,0,mM,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,profundus,6.97183,Celsius,Respiration
1,Bale_1997_500_1,1.44231,mM,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,profundus,15.1408,Celsius,Respiration
2,Bale_1997_500_1,2.30769,mM,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,profundus,25.1408,Celsius,Respiration
3,Bale_1997_500_1,1.52308,mM,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,profundus,35.2113,Celsius,Respiration
4,Bale_1997_500_1,1.09615,mM,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,profundus,45.2113,Celsius,Respiration
5,Bale_1997_500_1,0.934615,mM,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,profundus,55.1408,Celsius,Respiration
6,Bale_1997_500_1,0.819231,mM,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,profundus,65.1408,Celsius,Respiration
7,Bale_1997_500_1,-0.0230769,mM,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,profundus,70.0704,Celsius,Respiration
8,Bale_1997_80-85,0,mM,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,,6.97183,Celsius,Respiration
9,Bale_1997_80-85,1.61538,mM,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,,15.1408,Celsius,Respiration
10,Bale_1997_80-85,2.80385,mM,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,,25.2113,Celsius,Respiration
11,Bale_1997_80-85,1.59231,mM,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,,35.2817,Celsius,Respiration
12,Bale_1997_80-85,1.32692,mM,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,,45.2817,Celsius,Respiration
13,Bale_1997_80-85,1.31538,mM,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,,55.2817,Celsius,Respiration
14,Bale_1997_80-85,1.08462,mM,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,,65.2113,Celsius,Respiration
15,Bale_1997_80-85,0,mM,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,,70.0704,Celsius,Respiration
