Index,ID,TraitVal,TraitUnit,Phylum,Class,Order,Family,Genus,Species,Temp,TempUnit,Label
0,K_Adamberg_Streptococcus_salivarius_growth,0.00013401,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,30.0656,Celsius,Growth
1,K_Adamberg_Streptococcus_salivarius_growth,0.0001383,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,31.0381,Celsius,Growth
2,K_Adamberg_Streptococcus_salivarius_growth,0.00014688,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,32.0916,Celsius,Growth
3,K_Adamberg_Streptococcus_salivarius_growth,0.00015375,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,33.064,Celsius,Growth
4,K_Adamberg_Streptococcus_salivarius_growth,0.00019144,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,34.063,Celsius,Growth
5,K_Adamberg_Streptococcus_salivarius_growth,0.00022228,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,35.0621,Celsius,Growth
6,K_Adamberg_Streptococcus_salivarius_growth,0.00024884,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,36.0343,Celsius,Growth
7,K_Adamberg_Streptococcus_salivarius_growth,0.00027968,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,37.0064,Celsius,Growth
8,K_Adamberg_Streptococcus_salivarius_growth,0.00031908,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,38.0324,Celsius,Growth
9,K_Adamberg_Streptococcus_salivarius_growth,0.00035163,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,39.0585,Celsius,Growth
10,K_Adamberg_Streptococcus_salivarius_growth,0.0003722,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,40.0577,Celsius,Growth
11,K_Adamberg_Streptococcus_salivarius_growth,0.0003979,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,41.0299,Celsius,Growth
12,K_Adamberg_Streptococcus_salivarius_growth,0.00043559,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,42.0289,Celsius,Growth
13,K_Adamberg_Streptococcus_salivarius_growth,0.00050068,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,43.0005,Celsius,Growth
14,K_Adamberg_Streptococcus_salivarius_growth,0.00055636,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,44.0533,Celsius,Growth
15,K_Adamberg_Streptococcus_salivarius_growth,0.00059233,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,45.0524,Celsius,Growth
16,K_Adamberg_Streptococcus_salivarius_growth,0.00058293,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,46.0791,Celsius,Growth
17,K_Adamberg_Streptococcus_salivarius_growth,0.00056325,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,47.0519,Celsius,Growth
18,K_Adamberg_Streptococcus_salivarius_growth,0.00051617,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,48.0251,Celsius,Growth
19,K_Adamberg_Streptococcus_salivarius_growth,0.00047251,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,49.0253,Celsius,Growth
20,K_Adamberg_Streptococcus_salivarius_growth,0.00042629,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,50.0525,Celsius,Growth
21,K_Adamberg_Streptococcus_salivarius_growth,0.00041431,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius,51.0522,Celsius,Growth
22,K_Adamberg_Lactococcus_lactis_growth,0.000019,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,10.0222,Celsius,Growth
23,K_Adamberg_Lactococcus_lactis_growth,0.0000216,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,11.0218,Celsius,Growth
24,K_Adamberg_Lactococcus_lactis_growth,0.0000233,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,12.0483,Celsius,Growth
25,K_Adamberg_Lactococcus_lactis_growth,0.0000276,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,13.0208,Celsius,Growth
26,K_Adamberg_Lactococcus_lactis_growth,0.0000345,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,14.0202,Celsius,Growth
27,K_Adamberg_Lactococcus_lactis_growth,0.0000405,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,15.0467,Celsius,Growth
28,K_Adamberg_Lactococcus_lactis_growth,0.0000465,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,16.0192,Celsius,Growth
29,K_Adamberg_Lactococcus_lactis_growth,0.0000559,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,17.0186,Celsius,Growth
30,K_Adamberg_Lactococcus_lactis_growth,0.0000653,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,18.018,Celsius,Growth
31,K_Adamberg_Lactococcus_lactis_growth,0.0000731,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,19.0174,Celsius,Growth
32,K_Adamberg_Lactococcus_lactis_growth,0.0000808,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,20.0169,Celsius,Growth
33,K_Adamberg_Lactococcus_lactis_growth,0.0000894,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,21.0163,Celsius,Growth
34,K_Adamberg_Lactococcus_lactis_growth,0.00010307,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,22.0156,Celsius,Growth
35,K_Adamberg_Lactococcus_lactis_growth,0.00011079,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,23.0691,Celsius,Growth
36,K_Adamberg_Lactococcus_lactis_growth,0.00011765,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,24.0145,Celsius,Growth
37,K_Adamberg_Lactococcus_lactis_growth,0.00011767,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,25.0411,Celsius,Growth
38,K_Adamberg_Lactococcus_lactis_growth,0.00013909,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,26.0133,Celsius,Growth
39,K_Adamberg_Lactococcus_lactis_growth,0.00015366,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,27.0397,Celsius,Growth
40,K_Adamberg_Lactococcus_lactis_growth,0.00016738,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,28.012,Celsius,Growth
41,K_Adamberg_Lactococcus_lactis_growth,0.00017766,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,29.0114,Celsius,Growth
42,K_Adamberg_Lactococcus_lactis_growth,0.00018539,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,30.0109,Celsius,Growth
43,K_Adamberg_Lactococcus_lactis_growth,0.00019653,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,31.0103,Celsius,Growth
44,K_Adamberg_Lactococcus_lactis_growth,0.00021025,s^-1,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,32.0096,Celsius,Growth
