Strain,Temperature,TraitValue,Trait,TemperatureUnits,TraitUnits,Phylum,Class,Order,Family,Genus,Species
04_04_02,5,0.036792947,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,5,0.046248754,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,5,0.052506668,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,5,0.030847219,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,10,0.050983486,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,10,0.04656299,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,10,0.068520733,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,10,0.058590633,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,15,0.067687435,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,15,0.105198155,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,15,0.094555137,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,15,0.068701863,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,19,0.11745214,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,19,0.128406845,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,19,0.137348987,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,19,0.18398466,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,21,0.244790831,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,23,0.318378237,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,23,0.394259888,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,23,0.365775549,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,23,0.308347749,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,25,0.312950508,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,25,0.282223411,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,25,0.32624629,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,25,0.261086601,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,30,0.099759864,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,30,0.122951711,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,30,0.087157457,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,30,0.175502288,Specific Growth Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,5,0.522003873,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,5,0.52778106,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
04_04_02,5,0.540937894,Specific Respiration Rate,Celsius,h^-1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,helmanticensis
